***Alexnet Benchmarking***
Usage ./run_gpu_alexnet_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_alexnet_iter_test.sh geforce_gtx_maxwell
**batch size 1**
[?1034h****GPU Data****	
39.242029190063 ms	
39.289951324463 ms	
39.222002029419 ms	
39.234161376953 ms	
39.649963378906 ms	
39.277076721191 ms	
39.302110671997 ms	
39.479970932007 ms	
39.306879043579 ms	
39.262056350708 ms	
39.287090301514 ms	
39.438962936401 ms	
39.264917373657 ms	
39.268016815186 ms	
39.273977279663 ms	
39.262056350708 ms	
39.278984069824 ms	
39.393901824951 ms	
39.435148239136 ms	
39.325952529907 ms	
39.291143417358 ms	
39.286851882935 ms	
39.211988449097 ms	
39.258003234863 ms	
39.515018463135 ms	
39.314031600952 ms	
39.291143417358 ms	
39.483070373535 ms	
39.252996444702 ms	
39.358139038086 ms	
39.29615020752 ms	
39.301156997681 ms	
39.302110671997 ms	
39.27206993103 ms	
39.322853088379 ms	
39.278030395508 ms	
39.287090301514 ms	
39.299011230469 ms	
39.247989654541 ms	
39.602041244507 ms	
39.497852325439 ms	
39.340972900391 ms	
39.338111877441 ms	
39.290904998779 ms	
39.255142211914 ms	
39.339065551758 ms	
39.326190948486 ms	
39.239883422852 ms	
39.314985275269 ms	
39.334058761597 ms	
39.271116256714 ms	
39.304971694946 ms	
39.63303565979 ms	
39.274930953979 ms	
39.314985275269 ms	
39.324998855591 ms	
39.256811141968 ms	
39.303064346313 ms	
39.515018463135 ms	
39.325952529907 ms	
39.299011230469 ms	
39.273023605347 ms	
39.293050765991 ms	
39.40486907959 ms	
39.309978485107 ms	
39.263963699341 ms	
39.407014846802 ms	
39.530038833618 ms	
39.309978485107 ms	
39.320230484009 ms	
39.337873458862 ms	
39.269924163818 ms	
39.257049560547 ms	
39.25609588623 ms	
39.314031600952 ms	
39.366006851196 ms	
39.284944534302 ms	
39.291143417358 ms	
39.339065551758 ms	
39.279222488403 ms	
39.460897445679 ms	
39.264917373657 ms	
39.250135421753 ms	
39.289951324463 ms	
39.529085159302 ms	
39.309978485107 ms	
39.386034011841 ms	
39.261102676392 ms	
**batch size 32**
[?1034h****GPU Data****	
152.45699882507 ms	
43.041944503784 ms	
72.793006896973 ms	
73.055982589722 ms	
73.286056518555 ms	
73.095083236694 ms	
73.132991790771 ms	
73.076963424683 ms	
73.071956634521 ms	
73.115110397339 ms	
73.117017745972 ms	
73.270082473755 ms	
73.086977005005 ms	
73.211908340454 ms	
73.101997375488 ms	
73.076963424683 ms	
73.105812072754 ms	
73.372840881348 ms	
73.097944259644 ms	
73.215007781982 ms	
73.138952255249 ms	
73.153972625732 ms	
73.080062866211 ms	
73.231935501099 ms	
73.165893554688 ms	
73.158979415894 ms	
73.115110397339 ms	
73.072910308838 ms	
73.128938674927 ms	
73.085069656372 ms	
73.133945465088 ms	
73.00591468811 ms	
73.071956634521 ms	
73.078155517578 ms	
73.080062866211 ms	
73.090076446533 ms	
73.276042938232 ms	
73.206186294556 ms	
73.212146759033 ms	
73.123931884766 ms	
73.1520652771 ms	
73.158979415894 ms	
73.081970214844 ms	
73.083877563477 ms	
73.023080825806 ms	
73.121070861816 ms	
73.118925094604 ms	
73.477029800415 ms	
73.251962661743 ms	
73.05908203125 ms	
73.024988174438 ms	
73.055028915405 ms	
73.137044906616 ms	
73.129177093506 ms	
73.138952255249 ms	
73.086977005005 ms	
73.194026947021 ms	
73.141098022461 ms	
73.071956634521 ms	
73.128938674927 ms	
73.261022567749 ms	
73.1520652771 ms	
73.426008224487 ms	
73.307991027832 ms	
73.421955108643 ms	
73.197841644287 ms	
73.454856872559 ms	
73.095083236694 ms	
73.099136352539 ms	
73.110818862915 ms	
73.273897171021 ms	
73.37498664856 ms	
73.166847229004 ms	
73.050022125244 ms	
73.099136352539 ms	
73.086977005005 ms	
73.132038116455 ms	
73.110103607178 ms	
73.351144790649 ms	
73.158025741577 ms	
73.190927505493 ms	
73.085069656372 ms	
73.122024536133 ms	
73.777914047241 ms	
72.559118270874 ms	
73.008060455322 ms	
73.110103607178 ms	
73.133945465088 ms	
73.220014572144 ms	
73.256969451904 ms	
73.307991027832 ms	
73.279142379761 ms	
73.06694984436 ms	
73.153018951416 ms	
73.328018188477 ms	
73.084115982056 ms	
73.119878768921 ms	
73.163032531738 ms	
73.148012161255 ms	
73.251962661743 ms	
**batch size 64**
[?1034h****GPU Data****	
194.07510757446 ms	
138.54789733887 ms	
140.58399200439 ms	
140.5611038208 ms	
140.67316055298 ms	
140.62404632568 ms	
140.7151222229 ms	
140.54298400879 ms	
140.49887657166 ms	
140.55299758911 ms	
140.57183265686 ms	
140.63286781311 ms	
140.5827999115 ms	
140.72799682617 ms	
140.75803756714 ms	
140.4869556427 ms	
140.48600196838 ms	
140.66386222839 ms	
140.8371925354 ms	
140.66886901855 ms	
140.58399200439 ms	
140.61212539673 ms	
140.55395126343 ms	
141.17407798767 ms	
140.53416252136 ms	
140.51795005798 ms	
140.55895805359 ms	
140.45214653015 ms	
140.8679485321 ms	
140.54107666016 ms	
140.58494567871 ms	
140.62309265137 ms	
140.63501358032 ms	
140.60711860657 ms	
140.75613021851 ms	
140.61093330383 ms	
140.60711860657 ms	
140.79093933105 ms	
140.71321487427 ms	
140.80095291138 ms	
140.68198204041 ms	
140.62786102295 ms	
140.49696922302 ms	
140.66100120544 ms	
140.59209823608 ms	
140.70701599121 ms	
140.58899879456 ms	
140.63000679016 ms	
140.61117172241 ms	
140.67387580872 ms	
140.66886901855 ms	
140.59019088745 ms	
140.69700241089 ms	
140.62190055847 ms	
140.51103591919 ms	
140.60091972351 ms	
140.55013656616 ms	
140.73300361633 ms	
140.65003395081 ms	
140.73801040649 ms	
140.59805870056 ms	
140.53916931152 ms	
140.52891731262 ms	
140.78211784363 ms	
140.63596725464 ms	
140.66910743713 ms	
140.61903953552 ms	
140.67602157593 ms	
140.71202278137 ms	
140.57087898254 ms	
140.60592651367 ms	
140.81192016602 ms	
140.6991481781 ms	
140.65504074097 ms	
140.58494567871 ms	
140.64407348633 ms	
140.66505432129 ms	
140.66290855408 ms	
