***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iter,time)****	
79 0.20003318786621 ms	
80 0.19598007202148 ms	
81 0.21600723266602 ms	
82 0.18405914306641 ms	
83 0.1990795135498 ms	
84 0.19407272338867 ms	
85 0.19097328186035 ms	
86 0.20289421081543 ms	
87 0.19478797912598 ms	
88 0.19192695617676 ms	
89 0.22411346435547 ms	
90 0.1981258392334 ms	
91 0.18811225891113 ms	
92 0.19693374633789 ms	
93 0.18501281738281 ms	
94 0.19502639770508 ms	
95 0.19598007202148 ms	
96 0.18596649169922 ms	
97 0.20098686218262 ms	
98 0.18787384033203 ms	
99 0.20790100097656 ms	
100 0.19311904907227 ms	
101 0.1978874206543 ms	
102 0.1828670501709 ms	
103 0.18811225891113 ms	
104 0.20098686218262 ms	
105 0.18787384033203 ms	
106 0.19097328186035 ms	
107 0.19598007202148 ms	
108 0.20313262939453 ms	
109 0.19001960754395 ms	
110 0.20098686218262 ms	
111 0.18906593322754 ms	
112 0.1978874206543 ms	
113 0.21100044250488 ms	
114 0.19311904907227 ms	
115 0.19001960754395 ms	
116 0.20503997802734 ms	
117 0.19121170043945 ms	
118 0.20909309387207 ms	
119 0.19407272338867 ms	
120 0.20503997802734 ms	
121 0.18811225891113 ms	
122 0.21100044250488 ms	
123 0.18405914306641 ms	
124 0.19192695617676 ms	
125 0.19383430480957 ms	
126 0.18715858459473 ms	
127 0.21505355834961 ms	
128 0.19001960754395 ms	
129 0.20599365234375 ms	
130 0.18692016601562 ms	
131 0.20194053649902 ms	
132 0.20480155944824 ms	
133 0.18787384033203 ms	
134 0.18692016601562 ms	
135 0.19311904907227 ms	
136 0.21195411682129 ms	
137 0.19383430480957 ms	
138 0.20217895507812 ms	
139 0.20384788513184 ms	
140 0.1990795135498 ms	
141 0.1981258392334 ms	
142 0.20384788513184 ms	
143 0.20384788513184 ms	
144 0.19192695617676 ms	
145 0.20194053649902 ms	
146 0.20289421081543 ms	
147 0.18501281738281 ms	
148 0.1981258392334 ms	
149 0.20003318786621 ms	
150 0.19407272338867 ms	
**batch size 16**
****GPU Data (iter,time)****	
1 214.29109573364 ms	
2 0.20003318786621 ms	
3 0.16403198242188 ms	
4 0.18596649169922 ms	
5 0.19717216491699 ms	
6 0.13899803161621 ms	
7 0.13399124145508 ms	
8 0.13995170593262 ms	
9 0.13494491577148 ms	
10 0.13589859008789 ms	
11 0.1380443572998 ms	
12 0.18119812011719 ms	
13 0.15401840209961 ms	
14 0.14209747314453 ms	
15 0.13184547424316 ms	
16 0.13208389282227 ms	
17 0.13303756713867 ms	
18 0.13208389282227 ms	
19 0.12993812561035 ms	
20 0.1528263092041 ms	
21 0.21100044250488 ms	
22 0.17404556274414 ms	
23 0.13399124145508 ms	
24 0.13399124145508 ms	
25 0.13208389282227 ms	
26 0.12898445129395 ms	
27 0.13589859008789 ms	
28 0.13399124145508 ms	
29 0.13399124145508 ms	
30 0.13303756713867 ms	
31 0.12803077697754 ms	
32 0.18501281738281 ms	
33 0.15401840209961 ms	
34 0.14996528625488 ms	
35 0.14996528625488 ms	
36 0.13089179992676 ms	
37 0.13399124145508 ms	
38 0.13113021850586 ms	
39 0.13208389282227 ms	
40 0.15902519226074 ms	
41 0.14400482177734 ms	
42 0.14996528625488 ms	
43 0.16403198242188 ms	
44 0.13089179992676 ms	
45 0.13399124145508 ms	
46 0.1380443572998 ms	
47 0.13899803161621 ms	
48 0.15592575073242 ms	
49 0.12779235839844 ms	
50 0.13494491577148 ms	
51 0.13208389282227 ms	
52 0.14281272888184 ms	
53 0.1378059387207 ms	
54 0.15497207641602 ms	
55 0.14019012451172 ms	
56 0.1370906829834 ms	
57 0.13613700866699 ms	
58 0.1370906829834 ms	
59 0.16093254089355 ms	
60 0.13995170593262 ms	
61 0.15401840209961 ms	
62 0.14805793762207 ms	
63 0.14591217041016 ms	
64 0.13303756713867 ms	
65 0.14615058898926 ms	
66 0.14209747314453 ms	
67 0.14305114746094 ms	
68 0.14209747314453 ms	
69 0.13899803161621 ms	
70 0.1368522644043 ms	
71 0.13303756713867 ms	
72 0.1521110534668 ms	
73 0.13303756713867 ms	
74 0.13303756713867 ms	
75 0.1370906829834 ms	
76 0.13494491577148 ms	
77 0.13589859008789 ms	
78 0.13589859008789 ms	
79 0.17595291137695 ms	
80 0.14519691467285 ms	
81 0.1521110534668 ms	
82 0.14996528625488 ms	
83 0.15091896057129 ms	
84 0.12707710266113 ms	
85 0.13899803161621 ms	
86 0.13113021850586 ms	
87 0.13613700866699 ms	
88 0.12993812561035 ms	
89 0.13089179992676 ms	
90 0.13494491577148 ms	
91 0.13494491577148 ms	
92 0.14209747314453 ms	
93 0.12993812561035 ms	
94 0.13399124145508 ms	
95 0.13995170593262 ms	
96 0.14305114746094 ms	
97 0.66208839416504 ms	
98 0.61297416687012 ms	
99 0.60486793518066 ms	
100 0.65112113952637 ms	
101 0.63490867614746 ms	
102 0.64301490783691 ms	
103 0.64802169799805 ms	
104 0.6411075592041 ms	
105 0.63514709472656 ms	
106 0.62394142150879 ms	
107 0.63490867614746 ms	
108 0.65898895263672 ms	
109 0.63800811767578 ms	
110 0.63705444335938 ms	
111 0.63800811767578 ms	
112 0.65803527832031 ms	
113 0.64396858215332 ms	
114 0.64587593078613 ms	
115 0.64301490783691 ms	
116 0.64301490783691 ms	
117 0.64587593078613 ms	
118 0.64706802368164 ms	
119 0.63896179199219 ms	
120 0.64682960510254 ms	
121 0.66113471984863 ms	
122 0.64492225646973 ms	
123 0.64992904663086 ms	
124 0.63991546630859 ms	
125 0.64492225646973 ms	
126 0.65112113952637 ms	
127 0.64206123352051 ms	
128 0.64301490783691 ms	
129 0.63419342041016 ms	
130 0.65708160400391 ms	
131 0.62298774719238 ms	
132 0.63991546630859 ms	
133 0.63300132751465 ms	
134 0.64992904663086 ms	
135 0.63991546630859 ms	
136 0.64301490783691 ms	
137 0.64587593078613 ms	
138 0.63991546630859 ms	
139 0.640869140625 ms	
140 0.63395500183105 ms	
141 0.63586235046387 ms	
142 0.64420700073242 ms	
143 0.64802169799805 ms	
144 0.64611434936523 ms	
145 0.64706802368164 ms	
146 0.65302848815918 ms	
147 0.63490867614746 ms	
148 0.64492225646973 ms	
149 0.64706802368164 ms	
150 0.64992904663086 ms	
**batch size 32**
****GPU Data (iter,time)****	
1 222.14698791504 ms	
2 0.24986267089844 ms	
3 0.30088424682617 ms	
4 0.27585029602051 ms	
5 0.23388862609863 ms	
6 0.22387504577637 ms	
7 0.23508071899414 ms	
8 0.23007392883301 ms	
9 0.28491020202637 ms	
10 0.22101402282715 ms	
11 0.23603439331055 ms	
12 0.22482872009277 ms	
13 0.23007392883301 ms	
14 0.22292137145996 ms	
15 0.2748966217041 ms	
16 0.26798248291016 ms	
17 0.22602081298828 ms	
18 0.22196769714355 ms	
19 0.24080276489258 ms	
20 0.22983551025391 ms	
21 0.22387504577637 ms	
22 0.21815299987793 ms	
23 0.24580955505371 ms	
24 0.22506713867188 ms	
25 0.22292137145996 ms	
26 0.24509429931641 ms	
27 0.27608871459961 ms	
28 0.27298927307129 ms	
29 0.22292137145996 ms	
30 0.25391578674316 ms	
31 0.26798248291016 ms	
32 0.23102760314941 ms	
33 0.22006034851074 ms	
34 0.23102760314941 ms	
35 0.22292137145996 ms	
36 0.21910667419434 ms	
37 0.21910667419434 ms	
38 0.23293495178223 ms	
39 0.21815299987793 ms	
40 0.22411346435547 ms	
41 0.21696090698242 ms	
42 0.21886825561523 ms	
43 0.2439022064209 ms	
44 0.24914741516113 ms	
45 0.22196769714355 ms	
46 0.21696090698242 ms	
47 0.22482872009277 ms	
48 0.22101402282715 ms	
49 0.22101402282715 ms	
50 0.22387504577637 ms	
51 0.25105476379395 ms	
52 0.22506713867188 ms	
53 0.21910667419434 ms	
54 0.21910667419434 ms	
55 0.24008750915527 ms	
56 0.24700164794922 ms	
57 0.23913383483887 ms	
58 0.25105476379395 ms	
59 0.23007392883301 ms	
60 0.23508071899414 ms	
61 0.21600723266602 ms	
62 0.22315979003906 ms	
63 0.23198127746582 ms	
64 0.21910667419434 ms	
65 0.22292137145996 ms	
66 0.22315979003906 ms	
67 0.26822090148926 ms	
68 0.26583671569824 ms	
69 0.22101402282715 ms	
70 0.21696090698242 ms	
71 0.22697448730469 ms	
72 0.22101402282715 ms	
73 0.21791458129883 ms	
74 0.22006034851074 ms	
75 0.22101402282715 ms	
76 0.25010108947754 ms	
77 0.23102760314941 ms	
78 0.26893615722656 ms	
79 0.25486946105957 ms	
80 0.22006034851074 ms	
81 0.21791458129883 ms	
82 0.22578239440918 ms	
83 0.22292137145996 ms	
84 0.21600723266602 ms	
85 0.22101402282715 ms	
86 0.22411346435547 ms	
87 0.23198127746582 ms	
88 0.21982192993164 ms	
89 0.22387504577637 ms	
90 0.22196769714355 ms	
91 0.4570484161377 ms	
92 1.2941360473633 ms	
93 1.2710094451904 ms	
94 1.2829303741455 ms	
95 1.2919902801514 ms	
96 1.276969909668 ms	
97 1.291036605835 ms	
98 1.276969909668 ms	
99 1.2810230255127 ms	
100 1.2881755828857 ms	
101 1.2879371643066 ms	
102 1.2938976287842 ms	
103 1.2879371643066 ms	
104 1.2929439544678 ms	
105 1.2900829315186 ms	
106 1.291036605835 ms	
107 1.2929439544678 ms	
108 1.2810230255127 ms	
109 1.2898445129395 ms	
110 1.2929439544678 ms	
111 1.2931823730469 ms	
112 1.2879371643066 ms	
113 1.2719631195068 ms	
114 1.2850761413574 ms	
115 1.2638568878174 ms	
116 1.2791156768799 ms	
117 1.2919902801514 ms	
118 1.2929439544678 ms	
119 1.2938976287842 ms	
120 1.2710094451904 ms	
121 1.2869834899902 ms	
122 1.291036605835 ms	
123 1.2807846069336 ms	
124 1.2869834899902 ms	
125 1.2991428375244 ms	
126 1.2900829315186 ms	
127 1.2929439544678 ms	
128 1.2907981872559 ms	
129 1.5621185302734 ms	
130 1.0249614715576 ms	
131 1.2869834899902 ms	
132 1.2881755828857 ms	
133 1.2719631195068 ms	
134 1.291036605835 ms	
135 1.2791156768799 ms	
136 1.2938976287842 ms	
137 1.291036605835 ms	
138 1.2857913970947 ms	
139 1.2829303741455 ms	
140 1.2950897216797 ms	
141 1.2857913970947 ms	
142 1.295804977417 ms	
143 1.2931823730469 ms	
