***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
[?1034h****GPU Data (iter,time)****	
18 0.18906593322754 ms	
19 0.15902519226074 ms	
20 0.15997886657715 ms	
21 0.1521110534668 ms	
22 0.15497207641602 ms	
23 0.17285346984863 ms	
24 0.20289421081543 ms	
25 0.15902519226074 ms	
26 0.1530647277832 ms	
27 0.1521110534668 ms	
28 0.1528263092041 ms	
29 0.16593933105469 ms	
30 0.18405914306641 ms	
31 0.15997886657715 ms	
32 0.15687942504883 ms	
33 0.16403198242188 ms	
34 0.15783309936523 ms	
35 0.17094612121582 ms	
36 0.15401840209961 ms	
37 0.16093254089355 ms	
38 0.15807151794434 ms	
39 0.15807151794434 ms	
40 0.15783309936523 ms	
41 0.16999244689941 ms	
42 0.1528263092041 ms	
43 0.15711784362793 ms	
44 0.16117095947266 ms	
45 0.15997886657715 ms	
46 0.1521110534668 ms	
47 0.19288063049316 ms	
48 0.15687942504883 ms	
49 0.17213821411133 ms	
50 0.15807151794434 ms	
51 0.16093254089355 ms	
52 0.17690658569336 ms	
53 0.16593933105469 ms	
54 0.15807151794434 ms	
55 0.16498565673828 ms	
56 0.16403198242188 ms	
57 0.16403198242188 ms	
58 0.16403198242188 ms	
59 0.16617774963379 ms	
60 0.16903877258301 ms	
61 0.16212463378906 ms	
62 0.15616416931152 ms	
63 0.17094612121582 ms	
64 0.1671314239502 ms	
65 0.17118453979492 ms	
66 0.16093254089355 ms	
67 0.17094612121582 ms	
68 0.1678466796875 ms	
69 0.17714500427246 ms	
70 0.16188621520996 ms	
71 0.16689300537109 ms	
72 0.16689300537109 ms	
73 0.17213821411133 ms	
74 0.16403198242188 ms	
75 0.16999244689941 ms	
76 0.17213821411133 ms	
77 0.16999244689941 ms	
78 2.1300315856934 ms	
79 3.2961368560791 ms	
80 3.4110546112061 ms	
81 3.2951831817627 ms	
82 3.2978057861328 ms	
