***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iter,time)****	
99 0.96607208251953 ms	
100 0.96702575683594 ms	
101 0.96797943115234 ms	
102 0.96487998962402 ms	
103 0.97012519836426 ms	
104 0.9617805480957 ms	
105 0.96297264099121 ms	
106 0.9911060333252 ms	
107 0.9610652923584 ms	
108 0.96702575683594 ms	
109 0.96321105957031 ms	
110 0.96821784973145 ms	
111 0.96893310546875 ms	
112 0.95391273498535 ms	
113 0.98109245300293 ms	
114 0.96583366394043 ms	
115 0.96797943115234 ms	
116 0.98299980163574 ms	
117 0.96297264099121 ms	
118 0.96297264099121 ms	
119 0.9620189666748 ms	
120 0.9608268737793 ms	
121 0.97513198852539 ms	
122 0.96297264099121 ms	
123 0.98490715026855 ms	
124 0.96583366394043 ms	
125 0.98490715026855 ms	
126 0.96297264099121 ms	
127 0.96487998962402 ms	
128 0.9620189666748 ms	
129 0.96702575683594 ms	
130 0.96297264099121 ms	
131 0.96392631530762 ms	
132 0.96702575683594 ms	
133 0.96797943115234 ms	
134 0.96797943115234 ms	
135 0.98395347595215 ms	
136 0.95891952514648 ms	
137 0.96893310546875 ms	
138 0.97298622131348 ms	
139 0.95891952514648 ms	
140 0.96607208251953 ms	
141 0.96607208251953 ms	
142 0.98919868469238 ms	
143 0.96011161804199 ms	
144 0.9608268737793 ms	
145 0.98586082458496 ms	
146 0.98705291748047 ms	
147 0.97012519836426 ms	
148 0.96392631530762 ms	
149 0.97203254699707 ms	
150 0.95891952514648 ms	
**batch size 32**
****GPU Data (iter,time)****	
1 74.297904968262 ms	
2 0.17595291137695 ms	
3 0.16093254089355 ms	
4 0.15997886657715 ms	
5 0.19001960754395 ms	
6 0.16999244689941 ms	
7 0.15687942504883 ms	
8 0.15997886657715 ms	
9 0.15878677368164 ms	
10 0.15807151794434 ms	
11 0.17595291137695 ms	
12 0.18119812011719 ms	
13 0.16093254089355 ms	
14 0.15807151794434 ms	
15 0.15902519226074 ms	
16 0.15783309936523 ms	
17 0.16093254089355 ms	
18 0.15497207641602 ms	
19 0.15711784362793 ms	
20 0.15997886657715 ms	
21 0.15783309936523 ms	
22 0.15807151794434 ms	
23 0.15711784362793 ms	
24 0.15902519226074 ms	
25 0.16093254089355 ms	
26 0.15711784362793 ms	
27 0.17595291137695 ms	
28 0.15902519226074 ms	
29 0.16999244689941 ms	
30 0.16307830810547 ms	
31 0.15807151794434 ms	
32 0.15902519226074 ms	
33 0.17309188842773 ms	
34 0.16188621520996 ms	
35 0.15807151794434 ms	
36 0.15687942504883 ms	
37 0.15497207641602 ms	
38 0.15616416931152 ms	
39 0.15807151794434 ms	
40 0.16999244689941 ms	
41 0.15807151794434 ms	
42 0.15902519226074 ms	
43 0.15687942504883 ms	
44 0.15616416931152 ms	
45 0.15497207641602 ms	
